000000	01100000	00	10	7654	0000
000001	10001100	01	01	7654	0000
000001	10001100	01	10	7654	0000
000011	11101101	01	11	7654	0000
000010	01100101	01	10	7654	0003
000011	01110011	01	01	7654	0003
000011	01110011	01	10	7654	0003
000100	11100000	10	01	7654	0003
000100	11100000	10	10	7654	0003
000110	10001100	10	01	7654	0003
000110	10001100	10	10	7654	0003
000111	01101100	10	01	7654	0003
000111	01101100	10	10	7654	0003
001000	01110111	00	01	7654	0003
001000	01110111	00	10	7654	0003
001001	11100000	10	01	7654	0003
001001	11100000	10	10	7654	0003
001011	10011001	10	01	7654	0003
001011	10011001	10	10	7654	0003
001111	10011101	10	11	7654	0073
001100	10011101	10	10	7654	0073
001101	01111110	10	01	7654	0076
001101	01111110	10	10	7654	0076
001110	11100000	10	01	7654	0076
001110	11100000	10	10	7654	0076
011110	11111101	10	11	7654	0076
010000	10111101	10	10	7654	0076
010001	10111001	10	01	6654	0076
010001	10111001	10	10	6654	0076
010010	01010100	10	01	6754	0076
010010	01010100	10	10	6754	0076
010011	11010100	10	11	6754	0076
010011	11000000	00	10	6754	0176
000110	10001100	00	01	6754	0176
000110	10001100	00	10	6754	0176
000111	01101100	00	01	6754	0173
000111	01101100	00	10	6754	0173
001000	01110111	00	01	6754	0173
001000	01110111	00	10	6754	0173
001001	11100000	10	01	6754	0173
001001	11100000	10	10	6754	0173
001011	10011001	10	01	6754	0173
001011	10011001	10	10	6754	0173
001100	10011101	10	01	6754	0173
001100	10011101	10	10	6754	0173
001101	01111110	10	01	6754	0175
001101	01111110	10	10	6754	0175
001111	11111110	10	11	6754	0175
001110	11100000	10	10	6754	0175
100000	10111101	10	01	6754	0175
100000	10111101	10	10	6754	0175
010001	10111001	10	01	6554	0175
010001	10111001	10	10	6554	0175
010011	11111101	10	11	6534	0175
010010	01010100	10	10	6574	0175
100011	11000000	00	01	6574	0275
010011	11000000	00	10	6574	0275
000110	10001100	00	01	6574	0275
000110	10001100	00	10	6574	0275
000111	11101100	00	11	6574	0273
000111	01101100	00	10	6574	0273
001000	01110111	00	01	6574	0273
001000	01110111	00	10	6574	0273
001001	11100000	10	01	6574	0273
001001	11100000	10	10	6574	0273
001011	10011001	10	01	6574	0273
001011	10011001	10	10	6574	0273
001100	10011101	10	01	6574	0273
001100	10011101	10	10	6574	0273
001101	01111110	10	01	6574	0274
001101	01111110	10	10	6574	0274
001110	11100000	10	01	6574	0274
001110	11100000	10	10	6574	0274
100000	10111101	10	01	6574	0274
100000	10111101	10	10	6574	0274
100001	10111001	10	11	6544	0274
100001	10111001	10	10	6544	0274
100010	01010100	10	01	6547	0274
100010	01010100	10	10	6547	0274
100011	11000000	00	01	6547	0374
100011	11000000	00	10	6547	0374
100111	11001100	00	11	6547	0374
000110	10001100	00	10	6547	0374
000111	01101100	00	01	6547	0373
000111	01101100	00	10	6547	0373
001000	01110111	00	01	6547	0373
001000	01110111	00	10	6547	0373
001001	11110111	01	11	6547	0373
001001	11100000	01	10	6547	0373
001010	11000000	01	01	6547	0373
001010	11000000	01	10	6547	0373
100100	01010000	01	01	6547	0373
100100	01010000	01	10	6547	0373
100100	01010000	01	11	6547	0373
100101	11000000	00	10	6547	1373
000001	10001100	00	01	6547	1373
000001	10001100	00	10	6547	1373
000010	01100101	00	01	6547	1373
000010	01100101	00	10	6547	1373
000011	01110011	01	01	6547	1073
000011	01110011	01	10	6547	1073
000100	11100000	10	01	6547	1073
000100	11100000	10	10	6547	1073
000110	10001100	10	01	6547	1073
000110	10001100	10	10	6547	1073
000111	01101100	10	01	6547	1073
000111	01101100	10	10	6547	1073
001000	01110111	00	01	6547	1072
001000	01110111	00	10	6547	1072
001001	11110111	10	11	6547	1072
001001	11100000	10	10	6547	1072
001011	10011001	10	01	6547	1072
001011	10011001	10	10	6547	1072
001100	10011101	10	01	6547	1062
001100	10011101	10	10	6547	1062
001101	11111111	10	11	6547	1060
001101	01111110	10	10	6547	1065
001110	11100000	10	01	6547	1065
001110	11100000	10	10	6547	1065
010000	10111101	10	01	6547	1065
010000	10111101	10	10	6547	1065
010001	10111101	10	11	6547	1065
010001	10111001	10	10	5547	1065
010010	01010100	10	01	5647	1065
010010	01010100	10	10	5647	1065
010011	11000000	00	01	5647	165
010011	11000000	00	10	5647	165
000110	10001100	00	01	5647	165
000110	10001100	00	10	5647	165
000111	01101100	00	01	5647	163
000111	01101100	00	10	5647	163
001000	01110111	00	01	5647	162
001000	01110111	00	10	5647	162
001001	11100000	10	01	5647	162
001001	11100000	10	10	5647	162
001011	10011001	10	01	5647	162
001011	10011001	10	10	5647	162
001111	10011101	10	11	5647	162
001100	10011101	10	10	5647	162
001101	01111110	10	01	5647	164
001101	01111110	10	10	5647	164
001110	11100000	10	01	5647	164
001110	11100000	10	10	5647	164
011110	11111101	10	11	5647	164
010000	10111101	10	10	5647	164
010001	10111001	10	01	5447	164
010001	10111001	10	10	5447	164
010010	01010100	10	01	5467	164
010010	01010100	10	10	5467	164
010011	11010100	10	11	5467	1264
010011	11000000	00	10	5467	1264
000110	10001100	00	01	5467	1264
000110	10001100	00	10	5467	1264
000111	01101100	00	01	5467	1263
000111	01101100	00	10	5467	1263
001000	01110111	00	01	5467	1262
001000	01110111	00	10	5467	1262
001001	11100000	01	01	5467	1262
001001	11100000	01	10	5467	1262
001010	11000000	01	01	5467	1262
001010	11000000	01	10	5467	1262
010100	01010000	01	01	5467	1262
010100	01010000	01	10	5467	1262
010101	11000000	00	01	5467	2262
010101	11000000	00	10	5467	2262
010101	11001100	00	11	5467	2262
000001	10001100	00	10	5467	2262
000010	01100101	00	01	5467	2263
000010	01100101	00	10	5467	2263
000011	01110011	01	01	5467	2063
000011	01110011	01	10	5467	2063
000111	11110011	11	11	5467	2063
000100	11100000	10	10	5467	2063
000110	10001100	10	01	5467	2063
000110	10001100	10	10	5467	2063
000111	01101100	10	01	5467	2063
000111	01101100	10	10	5467	2063
001111	01111111	10	11	5467	2063
001000	01110111	00	10	5467	2061
001001	11100000	10	01	5467	2061
001001	11100000	10	10	5467	2061
001011	10011001	10	01	5467	2061
001011	10011001	10	10	5467	2061
001100	10011101	10	01	5467	2051
001100	10011101	10	10	5467	2051
001101	01111110	10	01	5467	2054
001101	01111110	10	10	5467	2054
001110	11100000	10	01	5467	2054
001110	11100000	10	10	5467	2054
010000	10111101	10	01	5467	2054
010000	10111101	10	10	5467	2054
010001	10111001	10	01	4467	2054
010001	10111001	10	10	4467	2054
010011	11111101	10	11	4367	2054
010010	01010100	10	10	4567	2054
010011	11000000	00	01	4567	2154
100011	11000000	00	10	4567	2154
000110	10001100	00	01	4567	2154
000110	10001100	00	10	4567	2154
000111	11101100	00	11	4567	2153
000111	01101100	00	10	4567	2153
001000	01110111	00	01	4567	251
001000	01110111	00	10	4567	2151
001001	11100000	01	01	4567	2151
001001	11100000	01	10	4567	2151
001011	11100000	01	11	4567	2151
001010	11000000	01	10	4567	2151
010100	01010000	01	01	4567	2151
100100	01010000	01	10	4567	2151
100101	11000000	00	01	4567	3151
100101	11000000	00	10	4567	3151
000001	10001100	00	01	4567	3151
000001	10001100	00	10	4567	3151
000010	01100101	00	01	4567	3153
000010	01100101	00	10	4567	3153
000011	01110011	01	01	4567	3053
000011	01110011	01	10	4567	3053
000100	11100000	01	01	4567	3053
000100	11100000	01	10	4567	3053
000101	11000000	01	01	4567	3053
000101	11000000	01	10	4567	3053
010111	00000000	01	01	4567	3053
010110	00000000	01	10	4567	3053
010111	00000000	01	01	4567	3053
010111	00000000	01	10	4567	3053
011000	00000000	01	01	4567	3053
011000	00000000	01	10	4567	3053
011001	00000000	01	01	4567	3053
